Item,Hofer,EuroSpin ,Tuš,Spar,Mercator
Prices in EUR/kg or EUR/l or EUR/pc,EUR0,EUR0,
Canned sweet corn,€1.44,€1.72,EUR0,
Sunflower oil,€1.18,€1.18,EUR0,
Eggs,EUR0€0.12,EUR0,
Minced meat (beef),€6.58,€5.38,EUR0,
Milk,€0.65,EUR0,EUR0
Blueberries (frozen),€4.78,EUR0,EUR0
Strawberries (frozen),€3.30,EUR0,EUR0
Raspberries (frozen),€5.40,EUR0,EUR0
Waldfrucht (frozen),€3.30,EUR0,EUR0
Peas (frozen),€1.50,EUR0,EUR0
Sugar,€0.79,EUR0,EUR0
Cocoa powder,€6.95,€8.00,EUR0,
Hot chocolate,€14.95,EUR0,EUR0
Toast,€1.18,EUR0,EUR0
Šampinjoni,€3.83,€3.58,EUR0,
Burger cheese,€4.36,EUR0,EUR0
Gauda,6.6,EUR0,EUR06.78
Coffee,€6.99,€4.99,EUR0,
Grapefruit (red),€2.29,€1.69,EUR0,
Grapefruit (yellow),EUR0€1.89,EUR0,
Butter,€7.96,€7.20,€10.76,EUR0
Sauerkraut,€1.93,EUR0,EUR0€2.24
Coconut flakes,€3.95,€3.96,EUR0,
Chianti,€3.72,EUR0,EUR0
Onion,€0.68,EUR0,EUR0
Mouthwash,€2.58,EUR0,EUR0
Ajvar,€4.70,EUR0,€6.13,
Grissini,€5.00,EUR0,EUR0
Tomato,€1.69,€1.79,EUR0€3.00,
Cooking cream,€2.12,€1.98,EUR0,
Orange juice,€1.57,EUR0,EUR0
Greek yogurt,€2.99,EUR0,EUR0
Parmesan,€11.60,EUR0,EUR0
Cordon bleu,€5.32,EUR0,EUR0
Chicken (stegna),€7.00,€2.89,EUR0,
Whole chicken,€3.69,EUR0,EUR0
Pork neck,€6.00,EUR0,EUR0
Chicken (bedra),€3.50,EUR0€1.69,EUR0
Ham,€7.00,EUR0,EUR0
Oranges,€1.45,EUR0,EUR0
Carrot,€1.19,EUR0,EUR0
Solata ,€0.70,EUR0,EUR0
Onion,€0.70,€0.59,EUR0,
Potato,€1.20,€0.45,EUR0,
Toilet paper (per roll),€0.30,EUR0,EUR0
Wet wipes (per 100pcs),EUR0,EUR0,
Lettuce (125g),€9.50,€6.95,EUR0,
Kidney beans (425g),€0.90,€1.61,EUR0,
Gehackte Tomaten,€1.00,€1.10,EUR0,
Mozzarella  (block),€5.00,EUR0,EUR0
Smoked salmon,EUR0,EUR0€30.00,
Nori,EUR0,EUR0€125.00,
Detergent,€4.00,EUR0,EUR0
Smoky paprika,EUR0,EUR0€22.71,
Sweet paprika,EUR0,EUR0,
Mascarpone,€5.00,€5.00,EUR0,
Ribs with skin,EUR0€4.79,EUR0,
Ribs KAT III,EUR0€5.79,EUR0,
White chocolate ,EUR0€5.50,EUR0,
Flour (type 500 / 400),EUR0€0.47,EUR0,
Sirčki,EUR0€4.60,EUR0,
Baby Keksi ,EUR0€2.73,EUR0,
Apricot jam,EUR0€1.84,EUR0,
Strawberry jam,EUR0€1.84,EUR0,
Cheap hazelnut/choco spread,EUR0€2.52,EUR0,
Tuna in oil,EUR0€6.56,EUR0,
Tuna in olive oil,EUR0€8.32,EUR0,
Yeast,EUR0€4.76,EUR0,
Sponge cloth,EUR0€0.19,EUR0,
Lime,EUR0€3.50,EUR0,
Pistachios,EUR0€2.89,EUR0,
Cabbage,EUR0€0.69,EUR0,
Cooking cream,EUR0€1.98,EUR0,
Rukola,EUR0€7.96,EUR0,
Red chili (whole),EUR0-,EUR0€5.99,
Figs,EUR0€4.69,EUR0,
Ketchup,EUR0€0.95,EUR0,
Margarine,EUR0€1.50,EUR0,
Aloe Vera,EUR0€16.50,EUR0,
Muškat,EUR0€14.75,EUR0,
Hot paprika,EUR0€14.75,EUR0,
Curry powder,EUR0€16.86,EUR0,
Chicory ,EUR0€2.00,EUR0,
Barley,EUR0€1.85,EUR0,
Citric acid ,EUR0€3.45,EUR0,
Mustard,EUR0€1.36,EUR0,
Lemon squeezie,EUR0€1.95,EUR0,
Clean whole squid,EUR0€11.18,EUR0,
Squid rings,EUR0€9.98,EUR0,
Shrimp tails,EUR0€17.88,EUR0,
Napkins 450pcs/€2.19,EUR0,EUR0,
Paper towels 4rolls/€1.09,EUR0,EUR0€0.30,
Geschälte Tomaten,EUR0€1.63,EUR0,
Tomato paste,EUR0€0.67,EUR0,
Balsamico (Basic),€2.58,€2.58,EUR0,
Olives (pitiless),EUR0€4.76,EUR0,
Por,EUR0€4.30,EUR0,
Avocado,EUR0€1.49,EUR0,
Kaki,EUR0€1.99,EUR0,
Balsamico (premium),€11.69,€11.98,EUR0,
Cheap coffee beans,€4.39,€4.99,EUR0,
Sour cream,€2.12,EUR0,EUR0
Argentinian steak,€19.97,EUR0,EUR0
Chicken breast (filet),€8.78,EUR0,EUR0
Tortilla chips,€3.17,EUR0,EUR0
Sweet cream,€3.40,EUR0,EUR0
Vanilla sugar,€3.85,EUR0,EUR0
Lemon squeezie,€1.90,EUR0,EUR0
Listnato testo ,€3.20,EUR0,EUR0
Tequila,€22.84,EUR0,€20.00,
Whipping cream,EUR0,EUR0€2.77,
(Frozen) cauliflower,€1.69,EUR0,€1.98,
Garlic,€4.99,EUR0,€7.99,
Carob (ground),EUR0€3.45,EUR0€3.95,
Worcestershire sauce,EUR0,EUR0€12.53,
Apple vinegar,EUR0,EUR0€2.68,
Caper (1.49),€4.54,EUR0,EUR0
Anchoves (2.08),€14.33,EUR0,€14.93,
Himalayan salt,EUR0,EUR0€4.50,
Dijon mustard,EUR0,EUR0€7.25,
Red paprika,€3.00,EUR0,EUR0
Sugar,€0.79,EUR0,EUR0
Camembert ,€7.92,EUR0,EUR0
Pork rinds,€12.45,EUR0,EUR0
Pečena mesna slanina ,€6.39,EUR0,EUR0
Ground cheese,€6.60,EUR0,EUR0
Mozzarella (small),€6.00,EUR0,EUR0
Parmigiano Reggiano,€15.92,EUR0,EUR0
Grana padano,€11.60,EUR0,EUR0
